iter	MultiClass
117	0.8514001589
118	0.8496027992
119	0.8489903687
120	0.8476975077
121	0.8467012068
122	0.8457746863
123	0.8448007218
124	0.8439692232
125	0.8426692283
126	0.8417829432
127	0.8413789934
128	0.8406394399
129	0.8398881886
130	0.8392758005
131	0.8382434762
132	0.8373850217
133	0.8364331256
134	0.8358081792
135	0.8346693664
136	0.8337831183
137	0.8327332354
138	0.831827529
139	0.8304128907
140	0.8291496474
141	0.8283257728
142	0.8267899477
143	0.8257342919
144	0.8247781792
145	0.8239466054
146	0.8230647248
147	0.821394074
148	0.8205927079
149	0.818965253
150	0.8177587138
151	0.8166078561
152	0.8155388884
153	0.813881344
154	0.8129122326
155	0.8114535244
156	0.8102924192
157	0.808781863
158	0.8076526534
159	0.8069477585
160	0.8056720009
161	0.8044569821
162	0.8034593628
163	0.802560708
164	0.8019634851
165	0.8004252105
166	0.7993942558
167	0.7981370523
168	0.797657051
169	0.7966731649
170	0.7956946923
171	0.7941691672
172	0.7935757707
173	0.7929346552
174	0.7921824961
175	0.7911621517
176	0.7904447986
177	0.7893563419
178	0.7887838948
179	0.7878897495
180	0.7862424178
181	0.7852321459
182	0.7836439555
183	0.7831963643
184	0.7819994509
185	0.7808183921
186	0.7794510877
187	0.7788038636
188	0.7770285929
189	0.7757192014
190	0.7748723934
191	0.7736937775
192	0.7730786133
193	0.7721825585
194	0.7712011065
195	0.7701721417
196	0.7693553423
197	0.7683776734
198	0.7669847947
199	0.7662321231
200	0.7655294477
201	0.7646370394
202	0.763336684
203	0.7625295296
204	0.7614415047
205	0.7607256692
206	0.7598770252
207	0.7589877555
208	0.7570382193
209	0.7558657816
210	0.7547228231
211	0.7530228052
212	0.7519107849
213	0.7507476899
214	0.7500656262
215	0.7493206475
216	0.7488326463
217	0.7475672635
218	0.7460669812
219	0.7452506203
220	0.744399029
221	0.7432313516
222	0.7420870833
223	0.7415208346
224	0.7402851639
225	0.7391786403
226	0.7384946399
227	0.7376541741
228	0.7364054072
229	0.7349689627
230	0.7335718005
231	0.7327153593
232	0.7310782802
233	0.7300001469
234	0.7293964744
235	0.7283365204
236	0.7269936263
237	0.7261352738
238	0.7251732999
239	0.7243973816
240	0.7239703391
241	0.7228955754
242	0.7221865134
243	0.7209994798
244	0.7195869386
245	0.7183635112
246	0.7177910836
247	0.7168740776
248	0.7156820724
249	0.7148501318
250	0.713862685
251	0.7122568969
252	0.7115981102
253	0.7106462021
254	0.7099468953
255	0.7092963123
256	0.7080774415
257	0.7069964317
258	0.7057383456
259	0.7048203209
260	0.7040928065
261	0.7024854922
262	0.7014035352
263	0.7002728783
264	0.6995753935
265	0.698946643
266	0.6978954334
267	0.6967874838
268	0.6959984002
269	0.6952595608
270	0.694393195
271	0.6938186268
272	0.693030551
273	0.6921816591
274	0.6905725331
275	0.6894979942
276	0.6888531962
277	0.6876127651
278	0.6866531427
279	0.6859978237
280	0.6851497031
281	0.6844350529
282	0.6837561103
283	0.6827555257
284	0.6823316254
285	0.6815249883
286	0.680763141
287	0.6796879919
288	0.6789666921
289	0.678191928
290	0.6772355948
291	0.6765964814
292	0.6759102819
293	0.6750268815
294	0.6743257055
295	0.6734032789
296	0.6728458889
297	0.6719566845
298	0.6716365136
299	0.6705028756
300	0.6693384834
301	0.6683468086
302	0.6672636418
303	0.6666547027
304	0.6659192386
305	0.6648532831
306	0.6640779706
307	0.6633006992
308	0.6627358113
309	0.6616142012
310	0.6607587379
311	0.6601732402
312	0.6592085795
313	0.6575842083
314	0.656621954
315	0.6554179892
316	0.6541377811
317	0.6531250347
318	0.6520227286
319	0.6510984157
320	0.6501636093
321	0.6496020868
322	0.6485534385
323	0.6476494464
324	0.6467011997
325	0.645942532
326	0.64532143
327	0.6442699883
328	0.64370045
329	0.6431083217
330	0.6419081023
331	0.6405354979
332	0.6397084025
333	0.6387881126
334	0.637793483
335	0.6370005251
336	0.6363129272
337	0.6356885937
338	0.6346637029
339	0.63342892
340	0.6324015658
341	0.6315410796
342	0.6311686527
343	0.6301272271
344	0.6290776709
345	0.6284521734
346	0.6274762104
347	0.6269149156
348	0.6265008255
349	0.6248462657
350	0.6238706114
351	0.6227610353
352	0.6214244962
353	0.6210491961
354	0.6205111785
355	0.6198985404
356	0.6195207314
357	0.6183291795
358	0.6176464007
359	0.6169317813
360	0.6162640656
361	0.6157650593
362	0.6146855957
363	0.6136018782
364	0.612863557
365	0.6119504625
366	0.6112817887
367	0.6107131558
368	0.6102675175
369	0.6096534349
370	0.6089105498
371	0.6082988753
372	0.6077690695
373	0.6069220485
374	0.6057820692
375	0.6050652104
376	0.6040163975
377	0.6031819371
378	0.6025167433
379	0.6016645073
380	0.6010107178
381	0.6000445139
382	0.5996716257
383	0.5983249763
384	0.5976675601
385	0.5968927121
386	0.5961569907
387	0.5954249905
388	0.59461197
389	0.5939426978
390	0.5934014075
391	0.5926035467
392	0.59209214
393	0.5912917332
394	0.5904737973
395	0.589453891
396	0.5886243977
397	0.5877844296
398	0.5871359555
399	0.5866589273
400	0.5860511532
401	0.5853115396
402	0.5846471387
403	0.583888878
404	0.5831036136
405	0.5826817124
406	0.5816389627
407	0.5804980345
408	0.5798152517
409	0.5791092303
410	0.5781482319
411	0.577997302
412	0.5771033779
413	0.5763164081
414	0.5756296556
415	0.5746800924
416	0.5740635774
417	0.5734626333
418	0.5727457978
419	0.5721119952
420	0.5710547215
421	0.5702269643
422	0.569351178
423	0.5685222439
424	0.567739018
425	0.5664107341
426	0.5656921457
427	0.5647082788
428	0.5641189333
429	0.5633419758
430	0.5623878562
431	0.561522119
432	0.5604060246
433	0.5597054358
434	0.5589234451
435	0.5582357127
436	0.5577801059
437	0.5570524929
438	0.5562297246
439	0.555494531
440	0.5548343823
441	0.5539755696
442	0.5531159892
443	0.5523777573
444	0.5516799066
445	0.5507887472
446	0.5498671804
447	0.5491827127
448	0.5488761541
449	0.5482857049
450	0.5475847531
451	0.5470769823
452	0.5463060125
453	0.5454244276
454	0.5449249882
455	0.544291814
456	0.5435664507
457	0.542826767
458	0.542232327
459	0.5413820999
460	0.5409139191
461	0.5400945336
462	0.5396383185
463	0.5387799338
464	0.5384833191
465	0.5375771734
466	0.536868727
467	0.5363291137
468	0.5359105488
469	0.5354491469
470	0.5349332551
471	0.5339951463
472	0.5327292471
473	0.5322140033
474	0.5312767481
475	0.531049571
476	0.5306881106
477	0.529954486
478	0.5293984055
479	0.528555084
480	0.5278465454
481	0.5272912404
482	0.5263082478
483	0.5258410782
484	0.5252721638
485	0.5242287987
486	0.5236025567
487	0.5231268604
488	0.5227333174
489	0.5219697907
490	0.5214932129
491	0.5205801978
492	0.5195996399
493	0.5192518212
494	0.5183335407
495	0.5176351121
496	0.5168896949
497	0.5160121802
498	0.515233655
499	0.5144844993
